 p V(out) V(in) 
 0.635 3.3 0.635 
 0.636 3.3 0.636 
 0.637 3.3 0.637 
 0.638 3.3 0.638 
 0.639 3.3 0.639 
 0.64 3.3 0.64 
 0.641 3.3 0.641 
 0.642 3.3 0.642 
 0.643 3.3 0.643 
 0.644 3.3 0.644 
 0.645 3.3 0.645 
 0.646 3.3 0.646 
 0.647 3.3 0.647 
 0.648 3.3 0.648 
 0.649 3.3 0.649 
 0.65 3.3 0.65 
 0.651 3.3 0.651 
 0.652 3.3 0.652 
 0.653 3.3 0.653 
 0.654 3.3 0.654 
 0.655 3.3 0.655 
 0.656 3.3 0.656 
 0.657 3.3 0.657 
 0.658 3.3 0.658 
 0.659 3.3 0.659 
 0.66 3.3 0.66 
 0.661 3.3 0.661 
 0.662 3.3 0.662 
 0.663 3.3 0.663 
 0.664 3.3 0.664 
 0.665 3.3 0.665 
 0.666 3.3 0.666 
 0.667 3.3 0.667 
 0.668 3.3 0.668 
 0.669 3.3 0.669 
 0.67 3.3 0.67 
 0.671 3.3 0.671 
 0.672 3.3 0.672 
 0.673 3.3 0.673 
 0.674 3.3 0.674 
 0.675 3.3 0.675 
 0.676 3.3 0.676 
 0.677 3.3 0.677 
 0.678 3.3 0.678 
 0.679 3.3 0.679 
 0.68 3.3 0.68 
 0.681 3.3 0.681 
 0.682 3.3 0.682 
 0.683 3.3 0.683 
 0.684 3.3 0.684 
 0.685 3.3 0.685 
 0.686 3.3 0.686 
 0.687 3.3 0.687 
 0.688 3.3 0.688 
 0.689 3.3 0.689 
 0.69 3.3 0.69 
 0.691 3.3 0.691 
 0.692 3.3 0.692 
 0.693 3.3 0.693 
 0.694 3.3 0.694 
 0.695 3.3 0.695 
 0.696 3.3 0.696 
 0.697 3.3 0.697 
 0.698 3.2999 0.698 
 0.699 3.2999 0.699 
 0.7 3.2999 0.7 
 0.701 3.2999 0.701 
 0.702 3.2999 0.702 
 0.703 3.2999 0.703 
 0.704 3.2999 0.704 
 0.705 3.2999 0.705 
 0.706 3.2999 0.706 
 0.707 3.2998 0.707 
 0.708 3.2998 0.708 
 0.709 3.2998 0.709 
 0.71 3.2998 0.71 
 0.711 3.2998 0.711 
 0.712 3.2998 0.712 
 0.713 3.2997 0.713 
 0.714 3.2997 0.714 
 0.715 3.2997 0.715 
 0.716 3.2997 0.716 
 0.717 3.2997 0.717 
 0.718 3.2996 0.718 
 0.719 3.2996 0.719 
 0.72 3.2996 0.72 
 0.721 3.2996 0.721 
 0.722 3.2996 0.722 
 0.723 3.2995 0.723 
 0.724 3.2995 0.724 
 0.725 3.2995 0.725 
 0.726 3.2995 0.726 
 0.727 3.2994 0.727 
 0.728 3.2994 0.728 
 0.729 3.2994 0.729 
 0.73 3.2993 0.73 
 0.731 3.2993 0.731 
 0.732 3.2993 0.732 
 0.733 3.2993 0.733 
 0.734 3.2992 0.734 
 0.735 3.2992 0.735 
 0.736 3.2992 0.736 
 0.737 3.2991 0.737 
 0.738 3.2991 0.738 
 0.739 3.2991 0.739 
 0.74 3.299 0.74 
 0.741 3.299 0.741 
 0.742 3.2989 0.742 
 0.743 3.2989 0.743 
 0.744 3.2989 0.744 
 0.745 3.2988 0.745 
 0.746 3.2988 0.746 
 0.747 3.2987 0.747 
 0.748 3.2987 0.748 
 0.749 3.2987 0.749 
 0.75 3.2986 0.75 
 0.751 3.2986 0.751 
 0.752 3.2985 0.752 
 0.753 3.2985 0.753 
 0.754 3.2984 0.754 
 0.755 3.2984 0.755 
 0.756 3.2984 0.756 
 0.757 3.2983 0.757 
 0.758 3.2983 0.758 
 0.759 3.2982 0.759 
 0.76 3.2982 0.76 
 0.761 3.2981 0.761 
 0.762 3.2981 0.762 
 0.763 3.298 0.763 
 0.764 3.298 0.764 
 0.765 3.2979 0.765 
 0.766 3.2978 0.766 
 0.767 3.2978 0.767 
 0.768 3.2977 0.768 
 0.769 3.2977 0.769 
 0.77 3.2976 0.77 
 0.771 3.2976 0.771 
 0.772 3.2975 0.772 
 0.773 3.2975 0.773 
 0.774 3.2974 0.774 
 0.775 3.2973 0.775 
 0.776 3.2973 0.776 
 0.777 3.2972 0.777 
 0.778 3.2971 0.778 
 0.779 3.2971 0.779 
 0.78 3.297 0.78 
 0.781 3.297 0.781 
 0.782 3.2969 0.782 
 0.783 3.2968 0.783 
 0.784 3.2968 0.784 
 0.785 3.2967 0.785 
 0.786 3.2966 0.786 
 0.787 3.2966 0.787 
 0.788 3.2965 0.788 
 0.789 3.2964 0.789 
 0.79 3.2963 0.79 
 0.791 3.2963 0.791 
 0.792 3.2962 0.792 
 0.793 3.2961 0.793 
 0.794 3.296 0.794 
 0.795 3.296 0.795 
 0.796 3.2959 0.796 
 0.797 3.2958 0.797 
 0.798 3.2957 0.798 
 0.799 3.2957 0.799 
 0.8 3.2956 0.8 
 0.801 3.2955 0.801 
 0.802 3.2954 0.802 
 0.803 3.2953 0.803 
 0.804 3.2953 0.804 
 0.805 3.2952 0.805 
 0.806 3.2951 0.806 
 0.807 3.295 0.807 
 0.808 3.2949 0.808 
 0.809 3.2948 0.809 
 0.81 3.2948 0.81 
 0.811 3.2947 0.811 
 0.812 3.2946 0.812 
 0.813 3.2945 0.813 
 0.814 3.2944 0.814 
 0.815 3.2943 0.815 
 0.816 3.2942 0.816 
 0.817 3.2941 0.817 
 0.818 3.294 0.818 
 0.819 3.2939 0.819 
 0.82 3.2938 0.82 
 0.821 3.2938 0.821 
 0.822 3.2937 0.822 
 0.823 3.2936 0.823 
 0.824 3.2935 0.824 
 0.825 3.2934 0.825 
 0.826 3.2933 0.826 
 0.827 3.2932 0.827 
 0.828 3.2931 0.828 
 0.829 3.293 0.829 
 0.83 3.2929 0.83 
 0.831 3.2928 0.831 
 0.832 3.2927 0.832 
 0.833 3.2925 0.833 
 0.834 3.2924 0.834 
 0.835 3.2923 0.835 
 0.836 3.2922 0.836 
 0.837 3.2921 0.837 
 0.838 3.292 0.838 
 0.839 3.2919 0.839 
 0.84 3.2918 0.84 
 0.841 3.2917 0.841 
 0.842 3.2916 0.842 
 0.843 3.2915 0.843 
 0.844 3.2913 0.844 
 0.845 3.2912 0.845 
 0.846 3.2911 0.846 
 0.847 3.291 0.847 
 0.848 3.2909 0.848 
 0.849 3.2908 0.849 
 0.85 3.2906 0.85 
 0.851 3.2905 0.851 
 0.852 3.2904 0.852 
 0.853 3.2903 0.853 
 0.854 3.2902 0.854 
 0.855 3.29 0.855 
 0.856 3.2899 0.856 
 0.857 3.2898 0.857 
 0.858 3.2897 0.858 
 0.859 3.2895 0.859 
 0.86 3.2894 0.86 
 0.861 3.2893 0.861 
 0.862 3.2891 0.862 
 0.863 3.289 0.863 
 0.864 3.2889 0.864 
 0.865 3.2888 0.865 
 0.866 3.2886 0.866 
 0.867 3.2885 0.867 
 0.868 3.2884 0.868 
 0.869 3.2882 0.869 
 0.87 3.2881 0.87 
 0.871 3.2879 0.871 
 0.872 3.2878 0.872 
 0.873 3.2877 0.873 
 0.874 3.2875 0.874 
 0.875 3.2874 0.875 
 0.876 3.2872 0.876 
 0.877 3.2871 0.877 
 0.878 3.287 0.878 
 0.879 3.2868 0.879 
 0.88 3.2867 0.88 
 0.881 3.2865 0.881 
 0.882 3.2864 0.882 
 0.883 3.2862 0.883 
 0.884 3.2861 0.884 
 0.885 3.2859 0.885 
 0.886 3.2858 0.886 
 0.887 3.2856 0.887 
 0.888 3.2855 0.888 
 0.889 3.2853 0.889 
 0.89 3.2852 0.89 
 0.891 3.285 0.891 
 0.892 3.2849 0.892 
 0.893 3.2847 0.893 
 0.894 3.2845 0.894 
 0.895 3.2844 0.895 
 0.896 3.2842 0.896 
 0.897 3.2841 0.897 
 0.898 3.2839 0.898 
 0.899 3.2837 0.899 
 0.9 3.2836 0.9 
